,Y_pred,Y_test,Difference
267,43.683,62.0,18.317
268,66.519,62.0,4.519
269,73.988,62.0,11.988
270,119.505,84.0,35.505
271,82.034,68.5,13.534
272,102.012,76.5,25.512
273,81.446,68.0,13.446
274,107.799,76.5,31.299
275,121.79,76.5,45.29
276,128.673,76.5,52.173
277,125.184,76.5,48.684
278,75.305,62.0,13.305
279,66.519,62.0,4.519
280,46.03,0.0,46.03
281,33.146,62.0,28.854
282,75.305,62.0,13.305
283,68.095,55.96,12.135
284,73.988,62.0,11.988
285,66.519,62.0,4.519
286,75.305,62.0,13.305
287,83.808,76.5,7.308
288,71.525,90.0,18.475
289,51.417,90.0,38.583
290,51.417,90.0,38.583
291,71.525,90.0,18.475
292,71.525,90.0,18.475
293,71.525,90.0,18.475
294,71.525,90.0,18.475
295,71.525,90.0,18.475
296,71.525,90.0,18.475
297,50.655,65.0,14.345
298,71.525,90.0,18.475
299,71.525,90.0,18.475
300,50.655,0.0,50.655
301,71.525,90.0,18.475
302,71.525,90.0,18.475
303,51.417,90.0,38.583
304,51.417,90.0,38.583
305,71.525,90.0,18.475
306,64.493,90.0,25.507
307,71.525,90.0,18.475
308,51.417,90.0,38.583
309,50.655,65.0,14.345
310,57.163,90.0,32.837
311,51.417,90.0,38.583
312,71.525,90.0,18.475
313,99.476,130.5,31.024
314,76.435,98.2,21.765
315,71.525,90.0,18.475
316,50.655,0.0,50.655
317,49.676,90.0,40.324
318,64.493,90.0,25.507
319,51.417,90.0,38.583
320,71.525,90.0,18.475
321,94.36,98.2,3.84
322,71.525,90.0,18.475
323,71.525,90.0,18.475
324,71.525,90.0,18.475
325,71.525,90.0,18.475
326,58.248,68.0,9.752
327,80.682,85.0,4.318
328,50.968,17.6,33.368
329,80.682,85.0,4.318
330,80.682,85.0,4.318
331,50.968,17.6,33.368
332,103.281,0.0,103.281
333,95.777,76.5,19.277
334,72.047,0.0,72.047
335,89.784,0.0,89.784
336,115.806,0.0,115.806
337,52.036,0.0,52.036
338,57.757,0.0,57.757
339,47.623,0.0,47.623
340,47.033,76.5,29.467
341,90.704,0.0,90.704
342,47.623,0.0,47.623
343,107.514,94.0,13.514
344,97.09,124.25,27.16
345,74.61,76.5,1.89
346,79.158,94.5,15.342
347,79.158,94.5,15.342
348,28.23,86.0,57.77
349,67.121,63.0,4.121
350,79.158,94.5,15.342
351,79.158,94.5,15.342
352,79.158,94.5,15.342
353,79.158,94.5,15.342
354,67.121,63.0,4.121
355,76.659,94.5,17.841
356,79.158,94.5,15.342
357,79.158,94.5,15.342
358,79.158,94.5,15.342
359,79.158,94.5,15.342
360,79.158,94.5,15.342
361,79.158,94.5,15.342
362,67.121,63.0,4.121
363,79.158,94.5,15.342
364,79.158,94.5,15.342
365,76.659,94.5,17.841
366,72.039,36.25,35.789
367,79.158,94.5,15.342
368,79.158,94.5,15.342
369,61.349,86.0,24.651
370,61.349,86.0,24.651
371,79.158,94.5,15.342
372,61.349,86.0,24.651
373,61.349,86.0,24.651
374,61.877,94.5,32.623
375,79.158,94.5,15.342
376,76.009,124.7,48.691
377,61.349,86.0,24.651
378,79.158,94.5,15.342
379,79.158,94.5,15.342
380,67.308,62.0,5.308
381,59.266,0.0,59.266
382,50.727,62.0,11.273
383,51.748,62.0,10.252
384,66.271,62.0,4.271
385,51.748,62.0,10.252
386,78.794,62.0,16.794
387,78.794,62.0,16.794
388,78.794,62.0,16.794
389,78.794,62.0,16.794
390,46.517,62.0,15.483
391,51.748,62.0,10.252
392,59.266,0.0,59.266
393,51.139,62.0,10.861
394,51.748,62.0,10.252
395,104.048,63.0,41.048
396,51.748,62.0,10.252
397,53.212,60.0,6.788
398,55.027,62.0,6.973
399,66.271,62.0,4.271
400,78.794,62.0,16.794
401,78.794,62.0,16.794
402,51.748,62.0,10.252
403,78.794,62.0,16.794
404,54.209,62.0,7.791
405,78.794,62.0,16.794
406,78.794,62.0,16.794
407,35.01,62.0,26.99
408,66.271,62.0,4.271
409,78.794,62.0,16.794
410,78.794,62.0,16.794
411,78.794,62.0,16.794
412,70.831,85.5,14.669
413,65.916,0.0,65.916
414,83.37,76.5,6.87
415,73.556,0.0,73.556
416,101.171,58.9,42.271
417,70.59,62.0,8.59
418,46.787,62.0,15.213
419,73.844,62.0,11.844
420,73.844,62.0,11.844
421,46.787,62.0,15.213
422,70.59,62.0,8.59
423,70.59,62.0,8.59
424,80.392,84.0,3.608
425,73.844,62.0,11.844
426,73.844,62.0,11.844
427,70.59,62.0,8.59
428,70.59,62.0,8.59
429,73.844,62.0,11.844
430,46.787,62.0,15.213
431,46.787,62.0,15.213
432,61.814,62.0,0.186
433,54.56,60.0,5.44
434,52.035,0.0,52.035
435,70.59,62.0,8.59
436,70.59,62.0,8.59
437,77.309,76.5,0.809
438,83.327,84.0,0.673
439,46.787,62.0,15.213
440,46.787,62.0,15.213
441,52.035,60.0,7.965
442,52.035,0.0,52.035
443,70.59,62.0,8.59
444,70.59,62.0,8.59
445,70.59,62.0,8.59
446,70.59,62.0,8.59
447,73.844,62.0,11.844
448,70.59,62.0,8.59
449,70.59,62.0,8.59
450,70.59,62.0,8.59
451,73.844,62.0,11.844
452,46.787,62.0,15.213
453,75.325,84.0,8.675
454,61.814,62.0,0.186
455,73.844,62.0,11.844
456,70.59,62.0,8.59
457,46.787,62.0,15.213
458,46.787,62.0,15.213
459,52.035,60.0,7.965
460,70.59,62.0,8.59
461,70.59,62.0,8.59
462,113.283,84.0,29.283
463,73.844,62.0,11.844
464,70.59,62.0,8.59
465,99.302,85.5,13.802
466,76.125,65.0,11.125
467,67.394,75.0,7.606
468,37.985,76.5,38.515
469,94.023,76.5,17.523
470,73.449,76.5,3.051
471,108.915,69.4,39.515
472,124.242,55.9,68.342
473,56.152,0.0,56.152
474,84.351,0.0,84.351
475,116.048,65.0,51.048
476,62.846,0.0,62.846
477,90.778,0.0,90.778
478,117.474,91.38,26.094
479,116.092,88.4,27.692
480,102.727,88.4,14.327
481,26.635,65.0,38.365
482,73.552,0.0,73.552
483,113.901,76.5,37.401
484,144.025,58.9,85.125
485,114.061,76.5,37.561
486,141.815,106.75,35.065
487,100.621,76.5,24.121
488,170.004,46.66,123.344
489,26.635,65.0,38.365
490,67.753,76.5,8.747
491,93.731,55.08,38.651
492,59.87,76.5,16.63
493,80.47,55.96,24.51
494,77.298,36.0,41.298
495,81.615,68.0,13.615
496,112.056,75.79,36.266
497,103.026,63.46,39.566
498,103.026,63.46,39.566
499,100.413,68.0,32.413
500,58.78,75.0,16.22
501,115.657,89.75,25.907
502,106.872,72.5,34.372
503,108.136,94.5,13.636
504,108.136,94.5,13.636
505,99.454,76.5,22.954
506,112.612,94.5,18.112
507,112.612,94.5,18.112
508,108.136,94.5,13.636
509,108.136,94.5,13.636
510,108.136,94.5,13.636
511,99.454,85.5,13.954
512,116.463,138.5,22.037
513,108.136,94.5,13.636
514,99.168,94.5,4.668
515,108.136,94.5,13.636
516,112.612,94.5,18.112
517,108.136,94.5,13.636
518,102.146,72.5,29.646
519,108.136,94.5,13.636
520,99.168,94.5,4.668
521,112.612,94.5,18.112
522,108.136,94.5,13.636
523,108.136,94.5,13.636
524,113.085,80.75,32.335
525,106.872,72.5,34.372
526,108.136,94.5,13.636
527,108.136,94.5,13.636
528,99.168,94.5,4.668
529,112.612,94.5,18.112
530,112.612,94.5,18.112
531,89.713,36.25,53.463
532,96.046,76.5,19.546
533,96.404,76.5,19.904
534,94.087,0.0,94.087
535,105.386,76.5,28.886
536,74.621,0.0,74.621
537,107.547,75.0,32.547
538,59.181,0.0,59.181
539,62.985,75.0,12.015
540,80.695,12.0,68.695
541,86.358,12.0,74.358
542,108.601,85.5,23.101
543,105.509,0.0,105.509
544,86.358,12.0,74.358
545,78.602,62.0,16.602
546,78.602,62.0,16.602
547,78.602,62.0,16.602
548,70.72,62.0,8.72
549,78.602,62.0,16.602
550,70.72,62.0,8.72
551,78.602,62.0,16.602
552,70.72,62.0,8.72
553,78.602,62.0,16.602
554,78.602,62.0,16.602
555,78.602,62.0,16.602
556,70.72,62.0,8.72
557,78.602,62.0,16.602
558,78.602,62.0,16.602
559,78.602,62.0,16.602
560,70.72,62.0,8.72
561,74.334,62.0,12.334
562,78.602,62.0,16.602
563,70.72,62.0,8.72
564,78.602,62.0,16.602
565,78.602,62.0,16.602
566,78.602,62.0,16.602
567,72.597,60.0,12.597
568,91.944,84.0,7.944
569,78.602,62.0,16.602
570,70.72,62.0,8.72
571,70.72,62.0,8.72
572,78.602,62.0,16.602
573,73.739,0.0,73.739
574,78.602,62.0,16.602
575,75.94,76.5,0.56
576,105.096,76.5,28.596
577,105.126,76.5,28.626
578,91.944,84.0,7.944
579,72.183,0.0,72.183
580,105.404,80.0,25.404
581,67.255,0.0,67.255
582,105.413,80.0,25.413
583,72.724,0.0,72.724
584,72.724,0.0,72.724
585,85.255,90.0,4.745
586,92.116,65.0,27.116
587,107.62,80.0,27.62
588,90.969,84.0,6.969
589,75.22,62.0,13.22
590,90.959,84.0,6.959
591,66.361,62.0,4.361
592,75.22,62.0,13.22
593,75.524,75.0,0.524
594,114.933,75.0,39.933
595,71.757,75.0,3.243
596,80.281,75.0,5.281
597,104.257,0.0,104.257
598,101.391,6.0,95.391
599,101.391,6.0,95.391
600,68.399,0.0,68.399
601,66.361,62.0,4.361
602,75.22,62.0,13.22
603,75.22,62.0,13.22
604,75.22,62.0,13.22
605,75.22,62.0,13.22
606,103.308,85.5,17.808
607,76.414,12.0,64.414
608,70.84,75.0,4.16
609,66.361,62.0,4.361
610,75.22,62.0,13.22
611,67.792,0.0,67.792
612,66.361,62.0,4.361
613,75.22,62.0,13.22
614,75.22,62.0,13.22
615,70.633,62.0,8.633
616,66.361,62.0,4.361
617,75.22,62.0,13.22
618,75.22,62.0,13.22
619,98.388,18.0,80.388
620,92.971,105.0,12.029
621,102.079,75.0,27.079
622,75.22,62.0,13.22
623,75.22,62.0,13.22
624,75.22,62.0,13.22
625,75.22,62.0,13.22
626,103.802,76.5,27.302
627,66.361,62.0,4.361
628,66.361,62.0,4.361
629,75.22,62.0,13.22
630,101.921,65.0,36.921
631,101.921,65.0,36.921
632,101.607,60.0,41.607
633,101.921,65.0,36.921
634,104.403,76.5,27.903
635,100.927,65.0,35.927
636,100.927,65.0,35.927
637,102.274,60.0,42.274
638,101.921,65.0,36.921
639,100.927,65.0,35.927
640,101.607,60.0,41.607
641,101.921,65.0,36.921
642,100.927,65.0,35.927
643,100.927,65.0,35.927
644,100.927,65.0,35.927
645,101.921,65.0,36.921
646,101.607,0.0,101.607
647,85.67,61.0,24.67
648,100.927,65.0,35.927
649,100.927,65.0,35.927
650,83.525,90.0,6.475
651,100.927,65.0,35.927
652,101.607,60.0,41.607
653,103.395,90.0,13.395
654,100.927,65.0,35.927
655,101.921,65.0,36.921
656,94.964,66.0,28.964
657,100.927,65.0,35.927
658,100.927,65.0,35.927
659,104.838,76.5,28.338
660,101.921,65.0,36.921
661,100.927,65.0,35.927
662,101.607,60.0,41.607
663,100.927,65.0,35.927
664,75.113,80.0,4.887
665,102.274,60.0,42.274
666,101.921,65.0,36.921
667,101.607,0.0,101.607
668,93.814,67.5,26.314
669,93.814,67.5,26.314
670,102.994,90.0,12.994
671,99.361,75.0,24.361
672,104.113,76.5,27.613
673,104.113,85.5,18.613
674,88.728,84.0,4.728
675,66.361,62.0,4.361
676,75.22,62.0,13.22
677,67.792,0.0,67.792
678,109.345,70.0,39.345
679,72.397,67.0,5.397
680,76.449,70.0,6.449
681,101.407,81.0,20.407
682,74.028,81.0,6.972
683,104.059,80.0,24.059
684,96.894,81.0,15.894
685,105.146,90.0,15.146
686,89.101,81.0,8.101
687,66.369,0.0,66.369
688,78.498,90.0,11.502
689,69.084,75.0,5.916
690,99.43,0.0,99.43
691,85.449,68.0,17.449
692,74.134,90.0,15.866
693,86.723,76.5,10.223
694,97.642,76.08,21.562
695,70.604,63.75,6.854
696,75.343,67.0,8.343
697,75.343,67.0,8.343
698,101.619,67.0,34.619
699,108.057,75.0,33.057
700,71.368,75.0,3.632
701,73.866,98.0,24.134
702,67.668,75.0,7.332
703,77.011,81.0,3.989
704,55.944,62.0,6.056
705,55.944,62.0,6.056
706,69.627,62.0,7.627
707,89.14,75.0,14.14
708,109.242,75.0,34.242
709,102.306,81.0,21.306
710,55.944,62.0,6.056
711,82.809,84.0,1.191
712,69.833,75.0,5.167
713,55.944,62.0,6.056
714,69.627,62.0,7.627
715,69.627,62.0,7.627
716,70.31,80.0,9.69
717,104.787,162.0,57.213
718,55.944,62.0,6.056
719,106.137,153.0,46.863
720,55.944,62.0,6.056
721,55.944,62.0,6.056
722,69.627,62.0,7.627
723,69.627,62.0,7.627
724,69.627,62.0,7.627
725,82.809,84.0,1.191
726,55.944,62.0,6.056
727,69.627,62.0,7.627
728,61.084,0.0,61.084
729,107.126,81.0,26.126
730,82.809,84.0,1.191
731,65.189,81.0,15.811
732,55.944,62.0,6.056
733,69.627,62.0,7.627
734,55.944,62.0,6.056
735,55.944,62.0,6.056
736,55.944,62.0,6.056
737,57.565,0.0,57.565
738,55.944,62.0,6.056
739,54.449,62.0,7.551
740,55.944,62.0,6.056
741,77.54,98.0,20.46
742,69.833,75.0,5.167
743,55.944,62.0,6.056
744,55.944,62.0,6.056
745,69.627,62.0,7.627
746,105.895,60.0,45.895
747,106.857,90.0,16.857
748,75.522,75.0,0.522
749,99.907,76.5,23.407
750,100.9,76.5,24.4
751,77.629,75.0,2.629
752,116.008,76.5,39.508
753,97.936,90.0,7.936
754,104.309,76.5,27.809
755,96.297,76.5,19.797
756,75.979,75.0,0.979
757,65.783,80.0,14.217
758,112.647,153.0,40.353
759,92.893,75.0,17.893
760,75.599,98.0,22.401
761,87.934,89.0,1.066
762,94.764,75.0,19.764
763,100.378,76.5,23.878
764,69.611,75.0,5.389
765,107.251,75.0,32.251
766,82.639,90.0,7.361
767,100.378,76.5,23.878
768,98.927,100.0,1.073
769,101.838,94.5,7.338
770,99.525,94.5,5.025
771,93.505,72.5,21.005
772,101.838,94.5,7.338
773,68.916,86.0,17.084
774,75.253,86.0,10.747
775,92.65,94.5,1.85
776,91.928,36.25,55.678
777,101.838,94.5,7.338
778,87.934,89.0,1.066
779,87.031,50.8,36.231
780,97.78,100.0,2.22
781,87.935,76.5,11.435
782,67.667,75.0,7.333
783,75.253,86.0,10.747
784,99.525,94.5,5.025
785,86.239,124.7,38.461
786,75.253,86.0,10.747
787,114.296,153.0,38.704
788,92.65,94.5,1.85
789,92.65,94.5,1.85
790,99.525,94.5,5.025
791,101.838,94.5,7.338
792,101.838,94.5,7.338
793,101.838,94.5,7.338
794,101.838,94.5,7.338
795,75.253,86.0,10.747
796,99.525,94.5,5.025
797,101.838,94.5,7.338
798,75.253,86.0,10.747
799,92.65,94.5,1.85
800,75.253,86.0,10.747
801,101.838,94.5,7.338
802,101.838,94.5,7.338
803,75.253,86.0,10.747
804,103.829,98.0,5.829
805,101.838,94.5,7.338
806,101.838,94.5,7.338
807,99.525,94.5,5.025
808,101.838,94.5,7.338
809,101.838,94.5,7.338
810,68.916,86.0,17.084
811,99.525,94.5,5.025
812,99.525,94.5,5.025
813,101.838,94.5,7.338
814,101.838,94.5,7.338
815,76.525,62.0,14.525
816,69.452,62.0,7.452
817,85.131,62.0,23.131
818,77.181,0.0,77.181
819,69.452,62.0,7.452
820,110.675,81.0,29.675
821,76.525,62.0,14.525
822,69.452,62.0,7.452
823,91.347,84.0,7.347
824,85.131,62.0,23.131
825,62.773,62.0,0.773
826,69.452,62.0,7.452
827,85.131,62.0,23.131
828,71.147,0.0,71.147
829,69.452,62.0,7.452
830,76.525,62.0,14.525
831,91.347,84.0,7.347
832,86.303,90.0,3.697
833,76.525,62.0,14.525
834,76.525,62.0,14.525
835,69.452,62.0,7.452
836,106.521,60.0,46.521
837,69.452,62.0,7.452
838,69.452,62.0,7.452
839,62.773,62.0,0.773
840,76.525,62.0,14.525
841,69.452,62.0,7.452
842,85.131,62.0,23.131
843,69.452,62.0,7.452
844,69.452,62.0,7.452
845,69.452,62.0,7.452
846,74.668,60.0,14.668
847,85.131,62.0,23.131
848,100.782,88.0,12.782
849,73.352,98.0,24.648
850,82.22,81.0,1.22
851,106.238,88.0,18.238
852,114.147,153.0,38.853
853,86.057,76.5,9.557
854,107.855,63.75,44.105
855,114.786,63.75,51.036
856,99.648,80.0,19.648
857,131.057,67.5,63.557
858,110.575,153.0,42.425
859,86.401,75.0,11.401
860,83.291,105.0,21.709
861,131.057,67.5,63.557
862,100.26,0.0,100.26
863,103.85,99.0,4.85
864,103.85,99.0,4.85
865,113.063,153.0,39.937
866,107.891,96.0,11.891
867,106.261,153.0,46.739
868,88.055,98.0,9.945
869,91.892,98.0,6.108
870,81.114,105.0,23.886
871,99.563,76.5,23.063
872,98.653,76.5,22.153
873,111.608,0.0,111.608
874,96.216,76.5,19.716
875,109.51,76.5,33.01
876,111.608,65.0,46.608
877,117.312,89.0,28.312
878,83.689,115.0,31.311
879,91.649,115.0,23.351
880,86.611,115.0,28.389
881,91.088,115.0,23.912
882,74.898,62.0,12.898
883,71.718,62.0,9.718
884,83.452,62.0,21.452
885,83.452,62.0,21.452
886,106.392,75.0,31.392
887,102.947,67.0,35.947
888,90.36,75.0,15.36
889,66.319,62.0,4.319
890,74.565,0.0,74.565
891,84.367,96.0,11.633
892,81.752,105.0,23.248
893,109.199,96.0,13.199
894,101.849,89.0,12.849
895,66.319,62.0,4.319
896,75.515,62.0,13.515
897,73.898,62.0,11.898
898,71.718,62.0,9.718
899,88.61,98.0,9.39
900,70.537,62.0,8.537
901,70.537,62.0,8.537
902,77.662,75.0,2.662
903,74.898,62.0,12.898
904,71.718,62.0,9.718
905,83.452,62.0,21.452
906,86.191,105.0,18.809
907,75.515,62.0,13.515
908,83.452,62.0,21.452
909,70.537,62.0,8.537
910,74.898,62.0,12.898
911,83.452,62.0,21.452
912,109.249,90.0,19.249
913,91.101,75.0,16.101
914,75.686,114.0,38.314
915,66.319,62.0,4.319
916,71.718,62.0,9.718
917,66.319,62.0,4.319
918,87.12,98.0,10.88
919,71.718,62.0,9.718
920,83.452,62.0,21.452
921,83.452,62.0,21.452
922,101.728,110.0,8.272
923,88.593,105.0,16.407
924,106.684,9.0,97.684
925,106.606,162.0,55.394
926,75.278,62.0,13.278
927,71.718,62.0,9.718
928,74.565,0.0,74.565
929,104.008,115.0,10.992
930,95.958,76.5,19.458
931,92.102,76.5,15.602
932,95.814,63.5,32.314
933,93.01,75.0,18.01
934,85.28,105.0,19.72
935,82.622,75.0,7.622
936,111.647,81.0,30.647
937,101.253,96.0,5.253
938,109.341,81.0,28.341
939,90.258,55.96,34.298
940,81.901,124.0,42.099
941,123.504,96.0,27.504
942,89.262,89.0,0.262
943,91.107,115.0,23.893
944,86.398,114.0,27.602
945,103.119,115.0,11.881
946,102.613,90.0,12.613
947,97.206,90.0,7.206
948,101.65,75.0,26.65
949,105.849,80.0,25.849
950,94.882,115.0,20.118
951,104.835,90.0,14.835
952,105.849,80.0,25.849
953,98.994,90.0,8.994
954,103.303,75.0,28.303
955,70.537,62.0,8.537
956,74.898,62.0,12.898
957,104.894,75.0,29.894
958,117.452,75.0,42.452
959,105.683,76.5,29.183
960,105.179,0.0,105.179
961,84.417,0.0,84.417
962,72.138,124.0,51.862
963,97.71,90.0,7.71
964,90.755,95.0,4.245
965,72.494,0.0,72.494
966,72.15,75.0,2.85
967,72.61,111.6,38.99
968,59.312,160.0,100.688
969,88.043,114.0,25.957
970,74.634,99.0,24.366
971,95.991,70.0,25.991
972,105.809,162.0,56.191
973,82.141,76.5,5.641
974,104.776,15.0,89.776
975,103.592,144.0,40.408
976,97.899,90.0,7.899
977,65.22,0.0,65.22
978,69.753,124.0,54.247
979,88.45,89.0,0.55
980,99.455,0.0,99.455
981,92.014,68.0,24.014
982,100.991,144.0,43.009
983,97.899,90.0,7.899
984,103.787,50.3,53.487
985,105.391,107.0,1.609
986,93.213,114.0,20.787
987,111.585,153.0,41.415
988,107.306,6.0,101.306
989,107.586,105.0,2.586
990,107.586,105.0,2.586
991,88.338,76.5,11.838
992,94.379,124.0,29.621
993,103.916,67.9,36.016
994,113.279,153.0,39.721
995,92.548,114.0,21.452
996,105.444,0.0,105.444
